dimx,dimy,dimz,buffer_size,packet_size_min,packet_size_max,routing_type,selection_strategy,traffic_type,injection_rate,steady_state_temp_L0,steady_state_temp_L1,router_avg_temp_L0,router_avg_temp_L1,core_avg_temp_L0,core_avg_temp_L1,mem_avg_temp_L0,mem_avg_temp_L1,total_area,avg_power,avg_cores_power,avg_routers_power,avg_power_per_router,layer_area,area_per_core
15,2,2,8,4,8,oe_3d,thermal,random,0.04,95.26151000000002,93.9245866666667,26.834153333333333,26.64995,26.03982,25.9333,25.696983333333332,25.62216666666667,1.42533e+08 (um^2),9.76968e-08 (J/cycle),7.65899e-08 (J/cycle),2.11069e-08 (J/cycle),3.51781e-10 (J/cycle),7.12664e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,8,4,8,oe_3d,thermal,random,0.05,95.21410999999996,93.87702666666668,26.859303333333337,26.66475666666667,26.055799999999998,25.943893333333335,25.70820666666667,25.63087,1.42533e+08 (um^2),9.76504e-08 (J/cycle),7.65483e-08 (J/cycle),2.11021e-08 (J/cycle),3.51701e-10 (J/cycle),7.12664e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,8,4,8,oe_3d,thermal,random,0.06,95.14053,93.80624000000002,26.878330000000002,26.68075666666667,26.066813333333336,25.954510000000006,25.717673333333334,25.638813333333324,1.42533e+08 (um^2),9.75093e-08 (J/cycle),7.64665e-08 (J/cycle),2.10428e-08 (J/cycle),3.50714e-10 (J/cycle),7.12664e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,8,4,8,oe_3d,thermal,random,0.07,95.20650333333333,93.86826,26.897090000000002,26.695203333333335,26.075253333333333,25.96196666666667,25.72336,25.643533333333334,1.42533e+08 (um^2),9.75637e-08 (J/cycle),7.64899e-08 (J/cycle),2.10738e-08 (J/cycle),3.5123e-10 (J/cycle),7.12664e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,8,4,8,oe_3d,thermal,random,0.08,95.21701333333334,93.87726333333335,26.883703333333333,26.678790000000003,26.067490000000003,25.953889999999994,25.71711,25.638176666666666,1.42533e+08 (um^2),9.7567e-08 (J/cycle),7.64948e-08 (J/cycle),2.10722e-08 (J/cycle),3.51203e-10 (J/cycle),7.12664e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,8,4,8,oe_3d,thermal,random,0.09,94.99920999999999,93.66995333333332,26.942853333333336,26.73553,26.10756,25.98592666666667,25.74854,25.66333666666667,1.42533e+08 (um^2),9.7289e-08 (J/cycle),7.63225e-08 (J/cycle),2.09665e-08 (J/cycle),3.49442e-10 (J/cycle),7.12664e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,8,4,8,oe_3d,thermal,random,0.10,95.12846999999998,93.79530333333335,26.849356666666672,26.66031666666667,26.049850000000003,25.94078333333333,25.70557,25.628999999999998,1.42533e+08 (um^2),9.75254e-08 (J/cycle),7.648e-08 (J/cycle),2.10455e-08 (J/cycle),3.50758e-10 (J/cycle),7.12664e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,10,4,8,oe_3d,thermal,random,0.01,91.5544,90.34328666666667,26.68148,26.501876666666664,26.05152333333334,25.93658,25.730526666666666,25.647820000000003,1.42968e+08 (um^2),9.19758e-08 (J/cycle),7.34428e-08 (J/cycle),1.8533e-08 (J/cycle),3.08884e-10 (J/cycle),7.14839e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,10,4,8,oe_3d,thermal,random,0.02,102.52598666666667,100.94693666666666,27.374070000000003,27.09082,26.25049,26.111376666666665,25.77334666666667,25.68505666666666,1.42968e+08 (um^2),1.09487e-07 (J/cycle),8.34639e-08 (J/cycle),2.60233e-08 (J/cycle),4.33721e-10 (J/cycle),7.14839e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,10,4,8,oe_3d,thermal,random,0.03,96.14142333333334,94.77711333333335,27.003696666666666,26.78441,26.142909999999997,26.018253333333337,25.757333333333335,25.671026666666666,1.42968e+08 (um^2),9.94159e-08 (J/cycle),7.74731e-08 (J/cycle),2.19428e-08 (J/cycle),3.65713e-10 (J/cycle),7.14839e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,10,4,8,oe_3d,thermal,random,0.04,95.73974,94.38774000000002,26.95597,26.74421,26.122183333333332,25.99968666666667,25.746069999999996,25.661536666666663,1.42968e+08 (um^2),9.87122e-08 (J/cycle),7.70236e-08 (J/cycle),2.16886e-08 (J/cycle),3.61476e-10 (J/cycle),7.14839e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,10,4,8,oe_3d,thermal,random,0.05,95.84780666666667,94.49293000000002,26.990963333333337,26.77403,26.14006666666667,26.014916666666668,25.75818,25.671566666666664,1.42968e+08 (um^2),9.89058e-08 (J/cycle),7.71242e-08 (J/cycle),2.17816e-08 (J/cycle),3.63026e-10 (J/cycle),7.14839e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,10,4,8,oe_3d,thermal,random,0.06,95.67359000000003,94.31958000000002,26.97387666666667,26.748030000000004,26.132523333333335,26.005376666666667,25.75347333333333,25.66702666666667,1.42968e+08 (um^2),9.85986e-08 (J/cycle),7.69486e-08 (J/cycle),2.165e-08 (J/cycle),3.60833e-10 (J/cycle),7.14839e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,10,4,8,oe_3d,thermal,random,0.07,95.816,94.46019666666665,26.992493333333336,26.770463333333335,26.139169999999996,26.014126666666666,25.758300000000002,25.67170666666667,1.42968e+08 (um^2),9.87513e-08 (J/cycle),7.70414e-08 (J/cycle),2.17099e-08 (J/cycle),3.61831e-10 (J/cycle),7.14839e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
